Disk Write Speed (MB/s),Disk Read Speed (MB/s),CPU Usage (%),CPU Temperature (°C),Clock Speed (GHz),Cache Miss Rate (%),Power Consumption (W)
223.8450638,300.0188103,61.7687236,42.90110235,4.043528673,0.671718019,108.5109152
193.3929953,275.243914,58.75012407,53.65470917,2.031311792,1.123366163,59.31410344
229.8753865,420.6015204,38.45315969,63.61695099,3.115870696,0.96976075,66.05296997
185.7917998,203.2079137,19.80013659,54.14244287,3.442147642,10.1159797,81.0668889
202.9796349,265.4301898,100,69.001002,4.277297305,,101.0442274
254.511342,196.8354193,47.17700655,50.45940658,1.99097678,2.650686227,64.36201642
193.7131269,278.0251683,43.48522214,54.80654927,3.620061297,0.66185691,61.29042077
167.3203832,246.7273862,52.26668928,67.03201055,1.637464421,10.97175552,47.55974689
302.6528777,325.4253044,45.14542821,56.23084984,3.201787289,4.362075423,68.93984035
187.6499798,195.8130437,52.45457815,56.7265004,3.434965603,18.8832058,88.47573205
138.2330522,278.3127371,75.73894572,53.56511546,4.019768651,1.657756822,69.69870378
195.3028975,216.4812457,47.50903041,51.71059259,2.471496291,0.190575982,51.30380839
142.4249905,173.4255629,26.74579121,,3.590080229,20.17499562,90.96958338
150.7880904,,46.76712411,64.83706295,1.77808585,2.177219587,70.61147973
221.5048723,114.0309774,40.71196437,62.27148438,2.167663606,2.972880277,76.21606719
276.8401546,299.7542729,78.47797874,53.83816394,3.820478199,0.455728677,87.73920649
124.1134616,181.7167074,73.42238129,57.985081,4.177958722,4.495073762,84.54269115
222.1783459,435.3682978,52.15050001,75.95934783,1.548746891,1.506126137,74.52784916
258.9648613,262.5938672,24.4252829,45.78916623,1.999282552,,80.3749785
134.6257787,222.0162125,25.48215473,78.8589128,2.130485941,7.136665602,111.0029975
215.9080094,190.5461809,50.30246523,60.99719846,3.058165143,1.696371986,108.8425688
189.7323524,324.2817716,56.72645939,58.1987361,1.962534932,2.912400873,44.18180573
187.2894275,283.885334,42.50754361,69.53378339,4.428191531,2.115706861,76.82147972
205.6800955,193.1480875,40.39660832,39.32733931,2.663586342,19.33010561,47.86225968
265.1687076,277.0671132,38.14401534,73.80319575,1.928452981,9.425243765,112.254899
83.53870994,219.6574006,49.5321208,78.57725829,3.822700902,2.735274148,80.49717709
112.4762659,217.8552953,2.344752959,70.87972867,3.185434368,3.604601199,116.1413545
,251.5471766,27.97346742,38.97714631,4.24230726,20.68302331,119.8123303
207.6088623,2879.926537,37.45898309,67.64167798,4.306789865,1.587781163,100.5736828
176.9755495,236.7523479,74.1500639,76.45998558,4.067659945,10.82441131,76.8732318
289.6825444,306.0758922,33.72372716,75.42748788,3.19302175,14.20023823,85.86134948
598.68726,271.323038,53.60936284,45.91910753,2.167802222,3.080731983,102.1605391
240.956052,300.5377411,54.53085502,70.16356832,2.785746495,1.422479718,79.31682389
156.6890621,313.2329017,75.95833011,77.95570403,2.947641534,,75.20289285
227.6342345,253.2012177,75.25154814,60.29465719,4.426572621,0.377887222,65.15183353
249.1837602,208.0239822,48.84994062,45.47298777,2.257833209,1.00240095,69.31524903
169.7970089,292.4978517,40.49030518,68.28652593,2.804179976,2.052619299,35.94586593
170.6140648,115.4678723,36.72333794,70.53857969,3.18703195,7.424778772,91.54879361
199.2456975,256.5533904,45.17873555,58.60791836,2.673407712,2.458076675,62.60416662
283.5064695,247.8554381,41.31933291,48.09276544,1.861862356,2.257450104,96.46426891
251.8491074,291.4422913,61.07254819,69.81872084,4.171325067,9.304216152,85.19968015
196.3985348,190.7498122,58.40619635,52.31191134,3.903636986,4.513452729,138.9812453
173.243008,269.9868977,61.83602382,63.97346727,2.269486803,3.082280573,100.9731856
218.9925951,313.1480134,75.18567423,75.58166355,2.8424297,4.964986996,74.68178917
164.2830303,261.6640264,87.25738243,43.41201903,3.705774976,4.10791038,107.4272907
198.1572437,338.3731111,52.49326787,69.07763998,4.420711745,2.93866578,90.6196489
200.0932254,370.8656024,71.98927543,57.9341797,2.002535722,2.551012464,72.37958543
256.8585527,239.369836,42.96679632,58.19346716,3.413959117,10.81337783,867.1052039
217.5135824,285.3333563,,65.14316435,3.95265387,1.019076778,35.90350518
163.0863863,,71.23018314,52.28615969,1.577710629,0.858527012,62.51014288
111.3902849,225.5056527,70.1683194,48.24980863,3.932959934,8.065915801,78.07188226
136.3346669,240.0614562,51.88139682,42.15805228,3.869705465,0.642520438,920.5881622
211.6057517,279.770604,36.63283672,72.31762709,4.270447106,17.50055865,75.59850159
241.0446408,264.5943102,22.10943124,56.28327815,1.753270573,1.635432088,75.36262967
222.9029117,170.1985339,49.19925585,65.69940412,1.872861671,,98.53488819
159.2126984,211.9512033,80.66025084,55.14967925,3.056050429,5.208645689,71.46381076
177.0174676,318.7471555,43.80310197,48.38239497,4.114875508,8.280737164,101.0814011
177.4160795,243.3310558,65.70253171,66.5231261,4.12353171,2.551867824,94.85513784
154.4979011,300.2275972,66.87902801,63.27962574,3.600191266,1.135487365,80.54168587
186.4104812,385.6274698,44.32627558,57.63100846,2.846226068,14.79386154,40.17038854
200.7659615,249.2760943,76.32689675,63.01896063,2.193402435,7.728402365,86.00233549
217.1664284,287.3500435,0,50.39515444,2.924041066,0.812885499,93.5969462
186.1398911,209.0964869,25.54499443,70.60599775,2.151192815,2.922828802,64.46869371
221.410588,192.202756,31.68735407,72.92394639,3.819059076,2.005468342,88.83843922
225.4694103,94.86509454,33.60569954,67.59304571,2.764521292,0.840027076,106.4970425
221.0787959,224.2735667,56.72525902,56.28014241,3.118086313,4.487718859,108.5337413
176.5342796,137.2388685,55.80075606,60.59346795,3.542800316,6.732270533,94.51375999
164.2585727,184.5922651,57.87981144,75.68836448,3.079277919,1.330107662,103.0864141
220.1869481,335.3977213,61.92162988,72.81166218,3.765923453,3.990955019,98.33965875
182.0375894,283.8644123,30.99790862,79.93869091,3.858187145,1.120934128,92.27628386
189.6346355,315.5866796,25.63647866,,2.228203255,5.408698743,95.93769514
260.6745207,260.2041794,57.92639364,51.29787716,2.394420253,6.002385489,101.9910227
169.3251417,173.7382707,37.39535853,61.34370288,1.677963582,3.490562069,60.11243246
220.5424579,157.2432304,18.59049909,64.06895757,1.767585238,5.462595685,75.66680597
169.4039277,265.6667176,69.42688569,58.57710835,3.988428297,6.000182806,1031.968643
136.9003846,279.0728222,77.90203813,56.10315572,2.141999032,12.16949466,58.88445336
195.871398,304.9116436,81.14321779,72.67395183,4.003990583,9.007373526,79.08356681
153.6147738,133.3608276,53.74015443,59.09267909,4.457634691,8.633108437,55.91111616
210.916772,257.1237197,62.51864192,47.84788582,2.228435178,0.109845987,74.91791885
206.6863587,1969.994024,77.39736447,49.00310913,2.881119917,1.524604184,856.2728333
231.7022373,293.8425928,37.1716842,62.47064325,3.111184234,1.072992186,125.4314482
274.2789042,318.3857387,72.21355368,90.02652485,4.328455459,25.44932994,102.3192274
244.7168604,165.0300122,55.50792468,50.24056256,2.035890484,4.149661495,85.60540232
155.2708673,268.0621015,68.27423305,56.85125931,4.007940907,0.956420416,37.69917861
214.4007003,220.2218504,53.72186042,84.04804775,4.373346843,4.225101789,94.37393867
145.9341584,262.5383345,75.92513419,55.1571927,3.163249716,5.924159783,76.34614471
91.42980192,227.0790491,54.47047525,64.55460841,1.957179304,8.666674837,81.67190935
225.8512342,208.2800044,20.32041881,78.75910723,2.501413644,1.635127854,63.99041813
221.6065015,200.1545452,79.03853265,50.48521319,4.377279277,4.079668857,50.50656028
211.8012067,194.69935,31.04938518,56.90739778,2.004669566,1.796369113,36.38910195
194.0123197,212.4439867,75.0611642,55.15634066,2.962898262,2.990632692,55.95363944
171.9524729,239.6382154,48.19514237,44.82104637,2.069578647,2.613409447,102.2790801
225.3005273,368.3031233,73.5202197,75.69365946,4.2123758,1.203802873,70.06744554
97.24714909,196.4599778,72.6953723,54.14595662,3.271307793,1.735535632,91.14068645
165.9618794,212.9072639,58.60285949,51.23754324,ERROR,1.485526653,867.4578329
193.0182362,260.0119212,60.17070635,55.55566112,4.338510422,8.342575989,72.48522569
208.475387,216.2864428,58.45257234,69.28831405,2.966905865,0.786110202,52.1303416
209.1924633,121.1837686,9.723504874,61.12893537,4.31130773,17.88226149,66.167862
120.069932,267.204536,52.36660438,52.08333695,1.502124618,2.569095542,74.82264185
242.4517733,197.7136748,27.67871648,64.09149845,2.076318095,1.278831085,70.76914286
302.7470417,272.1654091,53.42374287,68.12594698,3.701995225,7.192065858,62.16342041
179.5770537,318.3616945,27.14114907,59.76235412,3.079464643,0.48288084,58.75867883
162.7640227,261.7584277,26.30096118,57.65239071,4.472855879,8.444776132,60.76060349
255.9041808,259.8711313,82.09869004,70.15875938,3.852848894,1.861120694,42.52620426
231.6581571,116.1181181,71.38894776,58.20814753,3.492375565,0.942416025,97.6424733
188.5545488,247.6909215,49.9171483,76.08191506,4.236506015,9.315043346,44.42885536
234.607066,215.5926101,53.695373,52.42365128,2.51160302,4.523284069,69.9676105
140.3590893,237.3917147,45.04167949,52.19086534,2.00273659,3.866275906,82.42994926
210.4943461,202.4583857,61.39752752,50.9620322,3.14123958,1.774802492,100.9682179
229.3203717,210.8142443,36.47891267,57.61153543,2.215422115,3.471794158,83.53803326
147.1088848,185.1395733,69.87480526,60.02504061,2.197157317,7.594657649,70.85083999
